iter	Passed	Remaining
354	799	1451
355	800	1448
356	802	1445
357	804	1443
358	806	1439
359	807	1436
360	809	1432
361	811	1430
362	813	1426
363	814	1423
364	816	1420
365	818	1417
366	819	1413
367	821	1409
368	822	1406
369	824	1403
370	826	1401
371	828	1398
372	830	1395
373	831	1392
374	833	1389
375	835	1385
376	836	1382
377	847	1395
378	850	1392
379	851	1389
380	853	1387
381	857	1386
382	859	1384
383	860	1380
384	862	1377
385	864	1374
386	866	1371
387	867	1368
388	868	1364
389	870	1361
390	872	1358
391	874	1355
392	875	1352
393	877	1349
394	878	1346
395	880	1342
396	881	1339
397	883	1335
398	884	1332
399	886	1329
400	888	1327
401	891	1325
402	892	1322
403	894	1319
404	896	1317
405	899	1315
406	900	1312
407	902	1309
408	904	1306
409	905	1303
410	907	1300
411	908	1296
412	910	1293
413	911	1290
414	913	1287
415	914	1283
416	916	1281
417	918	1278
418	920	1276
419	923	1275
420	925	1272
421	926	1269
422	928	1266
423	930	1264
424	933	1262
425	934	1259
426	936	1257
427	938	1254
428	940	1251
429	942	1248
430	944	1247
431	947	1246
432	950	1244
433	952	1242
434	954	1239
435	955	1236
436	957	1233
437	959	1231
438	961	1229
439	964	1227
440	967	1226
441	969	1224
442	971	1221
443	973	1219
444	976	1218
445	981	1218
446	983	1216
447	984	1213
448	986	1210
449	988	1208
450	990	1206
451	992	1203
452	994	1200
453	996	1198
454	998	1195
455	999	1192
456	1001	1189
457	1003	1187
458	1006	1185
459	1008	1183
460	1009	1180
461	1011	1178
462	1013	1175
463	1014	1171
464	1015	1168
465	1017	1166
466	1019	1163
467	1020	1160
468	1022	1157
469	1024	1155
470	1026	1152
471	1027	1149
472	1029	1147
473	1031	1144
474	1033	1142
475	1035	1139
476	1037	1137
477	1039	1135
478	1041	1132
479	1043	1130
480	1045	1127
481	1047	1126
482	1050	1124
483	1052	1122
484	1054	1119
485	1056	1117
486	1058	1114
487	1059	1111
488	1061	1109
489	1064	1107
490	1066	1106
491	1068	1103
492	1070	1101
493	1072	1098
494	1074	1096
495	1077	1094
496	1078	1091
497	1081	1089
498	1082	1087
499	1084	1084
500	1086	1082
501	1088	1079
502	1089	1076
503	1093	1075
504	1095	1073
505	1097	1071
506	1099	1068
507	1100	1065
508	1102	1063
509	1103	1060
510	1106	1058
511	1109	1057
512	1111	1055
513	1113	1052
514	1115	1050
515	1117	1047
516	1118	1045
517	1120	1042
518	1122	1040
519	1124	1038
520	1126	1035
521	1128	1033
522	1131	1031
523	1133	1029
524	1135	1027
525	1139	1026
526	1142	1025
527	1144	1023
528	1146	1020
529	1148	1018
530	1151	1016
531	1153	1014
532	1157	1014
533	1159	1012
534	1162	1010
535	1163	1007
536	1165	1005
537	1167	1002
538	1170	1001
539	1173	999
540	1175	997
541	1176	994
542	1178	991
543	1179	988
544	1182	987
545	1184	984
546	1185	982
547	1187	979
548	1189	977
549	1191	974
550	1192	972
551	1194	969
552	1196	967
553	1198	964
554	1200	962
555	1201	959
556	1203	957
557	1205	954
558	1206	951
559	1208	949
560	1209	946
561	1211	944
562	1212	941
563	1214	938
564	1215	936
565	1217	933
566	1218	930
567	1220	928
568	1221	925
569	1223	922
570	1224	920
571	1226	917
572	1228	915
573	1229	912
574	1231	909
575	1232	907
576	1233	904
577	1235	902
578	1236	899
579	1238	896
580	1239	894
581	1241	891
582	1242	888
583	1244	886
584	1245	883
585	1247	881
586	1248	878
587	1249	875
588	1251	872
589	1252	870
590	1253	867
591	1255	865
592	1257	862
593	1258	860
594	1260	857
595	1261	855
596	1262	852
597	1264	849
598	1265	847
599	1267	844
600	1268	842
601	1271	840
602	1272	837
603	1274	835
604	1275	832
605	1277	830
606	1278	828
607	1280	825
608	1282	823
609	1283	820
610	1285	818
611	1287	816
612	1288	813
613	1290	811
614	1291	808
615	1293	806
616	1295	803
617	1296	801
618	1297	798
619	1299	796
620	1301	794
621	1303	791
622	1304	789
623	1306	787
624	1307	784
625	1309	782
626	1311	780
627	1313	777
628	1314	775
629	1316	773
630	1318	771
631	1319	768
632	1321	766
633	1322	763
634	1324	761
635	1326	758
636	1327	756
637	1329	754
638	1331	752
639	1333	750
640	1334	747
641	1336	745
642	1337	742
643	1339	740
644	1341	738
645	1343	736
646	1345	734
647	1347	731
648	1348	729
649	1350	727
650	1352	725
651	1354	722
652	1356	720
653	1358	718
654	1360	716
655	1362	714
656	1363	712
657	1365	709
658	1367	707
659	1368	705
660	1370	702
661	1371	700
662	1374	698
663	1376	696
664	1377	693
665	1379	691
666	1380	689
667	1382	687
668	1384	684
669	1385	682
670	1387	680
671	1389	678
672	1390	675
673	1392	673
674	1394	671
675	1395	668
676	1397	666
677	1399	664
678	1400	662
679	1403	660
680	1404	658
681	1406	655
682	1407	653
683	1409	651
684	1411	648
685	1412	646
686	1413	644
687	1415	641
688	1417	639
689	1418	637
690	1420	635
691	1422	633
692	1424	631
693	1425	628
694	1427	626
695	1429	624
696	1430	621
697	1432	619
698	1433	617
699	1435	615
700	1436	612
701	1438	610
702	1439	608
703	1441	606
704	1443	604
705	1445	602
706	1448	600
707	1449	597
708	1451	595
709	1452	593
710	1454	591
711	1455	588
712	1457	586
713	1458	584
714	1460	582
715	1461	579
716	1464	577
717	1465	575
718	1467	573
719	1469	571
720	1471	569
721	1472	567
722	1474	564
723	1475	562
724	1477	560
725	1479	558
726	1480	556
727	1482	554
728	1484	551
729	1486	549
730	1488	547
731	1490	545
732	1492	543
733	1493	541
734	1495	539
735	1497	537
736	1498	534
737	1500	532
738	1502	530
739	1503	528
740	1506	526
741	1508	524
742	1510	522
743	1511	520
744	1513	517
745	1515	515
746	1516	513
747	1518	511
748	1519	509
749	1522	507
750	1523	505
751	1525	503
752	1526	500
753	1528	498
754	1529	496
755	1531	494
756	1533	492
757	1535	490
758	1537	488
759	1539	486
760	1541	484
761	1542	481
762	1544	479
763	1545	477
764	1547	475
765	1554	474
766	1557	473
767	1559	471
768	1561	468
769	1564	467
770	1567	465
771	1569	463
772	1571	461
773	1573	459
774	1574	457
775	1576	454
776	1577	452
777	1579	450
778	1582	448
779	1584	446
780	1585	444
781	1587	442
782	1589	440
783	1590	438
784	1592	436
785	1594	434
786	1596	432
787	1598	429
788	1600	428
789	1602	425
790	1603	423
791	1605	421
792	1606	419
793	1609	417
794	1611	415
795	1613	413
796	1614	411
797	1616	409
798	1617	406
799	1621	405
800	1623	403
801	1626	401
802	1627	399
803	1629	397
804	1631	395
805	1632	393
806	1634	390
807	1635	388
808	1637	386
809	1639	384
810	1640	382
811	1642	380
812	1643	378
813	1645	375
814	1646	373
815	1648	371
816	1650	369
817	1652	367
818	1653	365
819	1655	363
820	1656	361
821	1658	359
822	1659	356
823	1661	354
824	1662	352
825	1664	350
826	1665	348
827	1667	346
828	1668	344
829	1669	342
830	1671	339
831	1673	337
832	1675	335
833	1677	333
834	1679	331
835	1680	329
836	1682	327
837	1684	325
838	1685	323
839	1687	321
840	1688	319
841	1690	317
842	1692	315
843	1693	313
844	1695	310
845	1697	308
846	1699	306
847	1700	304
848	1702	302
849	1703	300
850	1719	301
851	1721	299
852	1722	296
853	1724	294
854	1725	292
855	1727	290
856	1729	288
857	1730	286
858	1732	284
859	1734	282
860	1735	280
861	1737	278
862	1738	275
863	1739	273
864	1741	271
865	1743	269
866	1745	267
867	1746	265
868	1748	263
869	1749	261
870	1751	259
871	1752	257
872	1754	255
873	1755	253
874	1757	251
875	1759	249
876	1760	246
877	1762	244
878	1764	242
879	1766	240
880	1767	238
881	1768	236
882	1770	234
883	1771	232
884	1773	230
885	1775	228
886	1776	226
887	1778	224
888	1779	222
889	1781	220
890	1782	218
891	1784	216
892	1785	213
893	1787	211
894	1789	209
895	1791	207
896	1792	205
897	1794	203
898	1795	201
899	1797	199
900	1798	197
901	1800	195
902	1801	193
903	1803	191
904	1805	189
905	1807	187
906	1808	185
907	1810	183
908	1811	181
909	1813	179
910	1814	177
911	1816	175
912	1818	173
913	1819	171
914	1821	169
915	1823	167
916	1824	165
917	1826	163
918	1827	161
919	1829	159
920	1830	157
921	1832	155
922	1834	152
923	1835	150
924	1836	148
925	1838	146
926	1839	144
927	1841	142
928	1842	140
929	1843	138
930	1845	136
931	1847	134
932	1849	132
933	1850	130
934	1852	128
935	1853	126
936	1855	124
937	1856	122
938	1858	120
939	1859	118
940	1861	116
941	1862	114
942	1864	112
943	1865	110
944	1867	108
945	1868	106
946	1870	104
947	1872	102
948	1873	100
949	1874	98
950	1876	96
951	1878	94
952	1879	92
953	1881	90
954	1883	88
955	1884	86
956	1885	84
957	1887	82
958	1888	80
959	1890	78
960	1892	76
961	1893	74
962	1895	72
963	1897	70
964	1898	68
965	1900	66
966	1901	64
967	1903	62
968	1904	60
969	1906	58
970	1907	56
971	1909	55
972	1910	53
973	1912	51
974	1913	49
975	1915	47
976	1916	45
977	1917	43
978	1919	41
979	1920	39
980	1922	37
981	1923	35
982	1925	33
983	1926	31
984	1928	29
985	1929	27
986	1931	25
987	1933	23
988	1934	21
989	1936	19
990	1938	17
991	1939	15
992	1940	13
993	1942	11
994	1943	9
995	1945	7
996	1946	5
997	1948	3
998	1949	1
999	1951	0
